    0 100000
    1  99370
    2  99328
    3  99300
    4  99280
    5  99263
    6  99247
    7  99234
    8  99222
    9  99209
   10  99196
   11  99183
   12  99170
   13  99156
   14  99138
   15  99117
   16  99092
   17  99054
   18  99010
   19  98965
   20  98920
   21  98876
   22  98827
   23  98780
   24  98736
   25  98688
   26  98639
   27  98588
   28  98538
   29  98482
   30  98422
   31  98359
   32  98292
   33  98219
   34  98141
   35  98057
   36  97963
   37  97861
   38  97750
   39  97630
   40  97490
   41  97344
   42  97183
   43  97010
   44  96817
   45  96613
   46  96389
   47  96160
   48  95910
   49  95636
   50  95345
   51  95037
   52  94708
   53  94361
   54  93975
   55  93557
   56  93079
   57  92612
   58  92070
   59  91479
   60  90816
   61  90112
   62  89358
   63  88537
   64  87649
   65  86669
   66  85633
   67  84521
   68  83288
   69  82006
   70  80588
   71  79056
   72  77453
   73  75709
   74  73869
   75  71861
   76  69702
   77  67452
   78  65007
   79  62442
   80  59733
   81  56768
   82  53688
   83  50291
   84  46838
   85  43230
   86  39523
   87  35716
   88  31884
   89  28071
   90  24319
   91  20751
   92  17327
   93  14206
   94  11357
   95   8857
   96   6766
   97   5032
   98   3638
   99   2554
  100   1737
  101   1145
  102    729
  103    449
  104    267
  105    154
  106     85
  107     46
  108     24
  109     12
  110      6
