 0 1817270
 1 1639123
 2 1718425
 3 1671136
 4 1621019
 5 1606062
 6 1620740
 7 1636329
 8 1576169
 9 1621708
10 1649916
11 1491967
12 1505955
13 1409121
14 1408773
15 1376098
16 1302790
17 1356104
18 1329109
19 1276550
20 1335873
21 1185876
22 1116887
23 1053736
24 1075953
25 1115735
26  993664
27  999845
28  907680
29  928327
30 1031406
31  831571
32  810274
33  758956
34  768819
35  827883
36  708328
37  696632
38  624157
39  644621
40  715657
41  539663
42  541519
43  494726
44  462278
45  516270
46  399343
47  446431
48  435789
49  423655
50  479514
51  346367
52  374204
53  349337
54  356406
55  344552
56  288045
57  284318
58  246928
59  275560
60  322233
61  205177
62  218840
63  188670
64  192961
65  218875
66  144388
67  152395
68  138092
69  153870
70  182814
71   99902
72  102481
73   90058
74   90084
75  106108
76   71650
77   77058
78   68917
79   61911
80   67699
81   32336
82   33732
83   25451
84   25605
85   27096
86   16986
87   14745
88   16102
89   14088
90    9330
91    2875
92    2596
93    1667
94    1577
95    1838
96    1059
97     941
98    1093
99    1645
