  0 100000
  1  99232
  2  99179
  3  99142
  4  99115
  5  99092
  6  99073
  7  99057
  8  99041
  9  99025
 10  99009
 11  98992
 12  98974
 13  98952
 14  98926
 15  98895
 16  98852
 17  98779
 18  98691
 19  98574
 20  98439
 21  98304
 22  98162
 23  98023
 24  97883
 25  97745
 26  97613
 27  97476
 28  97344
 29  97215
 30  97078
 31  96939
 32  96795
 33  96656
 34  96502
 35  96341
 36  96170
 37  95989
 38  95791
 39  95575
 40  95346
 41  95090
 42  94822
 43  94534
 44  94226
 45  93885
 46  93524
 47  93126
 48  92706
 49  92247
 50  91759
 51  91231
 52  90677
 53  90090
 54  89465
 55  88809
 56  88059
 57  87328
 58  86508
 59  85615
 60  84612
 61  83565
 62  82455
 63  81234
 64  79943
 65  78552
 66  77086
 67  75533
 68  73843
 69  72078
 70  70170
 71  68125
 72  65977
 73  63742
 74  61364
 75  58841
 76  56200
 77  53467
 78  50607
 79  47660
 80  44626
 81  41439
 82  38181
 83  34796
 84  31458
 85  28077
 86  24751
 87  21448
 88  18344
 89  15413
 90  12689
 91  10265
 92   8147
 93   6258
 94   4699
 95   3419
 96   2441
 97   1693
 98   1140
 99    744
100    470
101    288
102    170
103     98
104     54
105     29
106     15
107      8
108      4
109      2
110      1
