  0  -3.64109  0.09064
  1  -6.70581  0.11049
  5  -7.51064  0.09179
 10  -7.55717  0.08358
 15  -6.76012  0.04744
 20  -6.44334  0.05351
 25  -6.40062  0.05966
 30  -6.22909  0.06173
 35  -5.91325  0.05899
 40  -5.51323  0.05279
 45  -5.09024  0.04458
 50  -4.65680  0.03830
 55  -4.25497  0.03382
 60  -3.85608  0.02949
 65  -3.47313  0.02880
 70  -3.06117  0.02908
 75  -2.63023  0.03240
 80  -2.20498  0.03091
 85  -1.79960  0.03091
 90  -1.40963  0.03091
 95  -1.03655  0.03091
100  -0.68035  0.03091
105  -0.34105  0.03091
