   1 .9641 .8499
   5 .9409 .7691
  10 .9366 .7502
  15 .9343 .7362
  20 .9227 .7130
  25 .9108 .6826
  30 .8981 .6525
  35 .8843 .6223
  40 .8655 .5898
  45 .8424 .5534
  50 .8045 .5106
  55 .7584 .4590
  60 .6967 .3965
  65 .6028 .3221
  70 .4770 .2380
  75 .3451 .1521
  
