        0        230
        1         89
        2         44
        3         95
        4         40
        5         36
        6         92
        7         22
        8         54
        9         29
       10         41
       11         16
       12        574
       13         10
       14         15
       15         18
       16         16
       17         12
       18        525
       19          6
       20         20
       21         14
       22         16
       23         12
       24       1223
       25          9
       26         19
       27         14
       28         40
       29          9
       30        424
       31          2
       32         16
       33          6
       34          7
       35          8
       36        595
       37          3
       38          9
       39          3
       40          4
       41          2
       42         16
       43          1
       44          2
       45          3
       46          2
       47          2
       48        124
       49          1
       52          1
       53          1
       54          2
       60         62
       66          1
       72          1
