    1    1   1     31  7422
    2    1   1    177  7166
    3    1   1    393  6759
    4    1   1    484  6138
    5    1   1    500  5506
    6    1   1    399  4824
    7    1   1    309  4277
    8    1   1    210  3836
    9    1   1    150  3467
   10    1   1     97  3182
   11    1   1     51  2894
   12    1   1     48  2644
   13    1   1     39  4671
   14    1   1     38 10595
    1    2   1     14  3247
    2    2   1     43  3038
    3    2   1     95  2801
    4    2   1     99  2502
    5    2   1    106  2216
    6    2   1     88  1952
    7    2   1     64  1683
    8    2   1     45  1429
    9    2   1     25  1188
   10    2   1     19  1000
   11    2   1     12   766
   12    2   1      4   602
   13    2   1      2  1194
   14    2   1      1  2384
    1    3   1     52  1628
    2    3   1    166  1509
    3    3   1    269  1278
    4    3   1    189   961
    5    3   1    117   728
    6    3   1     62   582
    7    3   1     34   485
    8    3   1     13   426
    9    3   1     18   385
   10    3   1      9   339
   11    3   1      4   300
   12    3   1      2   261
   13    3   1      1   435
   14    3   1      1   470
    1    1   2     26  1558
    2    1   2    103  1485
    3    1   2    193  1334
    4    1   2    191  1097
    5    1   2     98   876
    6    1   2     74  746
    7    1   2     46  641
    8    1   2     33  564
    9    1   2     20  515
   10    1   2     11  475
   11    1   2      7  441
   12    1   2      2  407
   13    1   2      6  741
   14    1   2      4 1758
    1    2   2     12  805
    2    2   2     14  722
    3    2   2     36  657
    4    2   2     39  563
    5    2   2     25  460
    6    2   2     12  384
    7    2   2      8  330
    8    2   2      6  255
    9    2   2      2  199
    1    3   2     26  427
    2    3   2     65  376
    3    3   2     80  280
    4    3   2     51  178
    5    3   2     17  114
    6    3   2      8   85
    7    3   2      2   72
   12    3   2      2   37
