 0 0.0726 4.95804 0
 5 0.0689 4.95002 0
10 0.0667 4.94603 0.0007
15 0.0648 4.93804 0.0303
20 0.0729 4.92552 0.0566
25 0.0799 4.91138 0.0578
30 0.0861 4.89356 0.0388
35 0.0801 4.86941 0.0157
40 0.0735 4.83577 0.0027
45 0.0556 4.78475 0.0001
50 0.0464 4.70374 0
55 0.0421 4.57712 0
60 0.0436 4.38502 0
65 0.0429 4.10756 0
70 0.0365 3.71990 0
75 0.0294 3.19192 0
80 0.0203 2.49203 0
85 0.0176 2.73044 0
