        0     100000     100000
        1      99358      98461
        2      99312      98380
        3      99279      98327
        4      99255      98285
        5      99234      98249
        6      99217      98223
        7      99201      98203
        8      99186      98185
        9      99171      98158
       10      99157      98131
       11      99142      98106
       12      99126      98080
       13      99106      98045
       14      99082      98011
       15      99052      97966
       16      99010      97915
       17      98937      97826
       18      98850      97716
       19      98736      97555
       20      98605      97368
       21      98478      97167
       22      98346      96948
       23      98223      96724
       24      98095      96499
       25      97972      96263
       26      97854      96024
       27      97733      95776
       28      97621      95528
       29      97507      95295
       30      97387      95040
       31      97261      94797
       32      97133      94539
       33      97012      94298
       34      96869      94044
       35      96726      93750
       36      96573      93426
       37      96411      93097
       38      96231      92785
       39      96036      92420
       40      95822      92049
       41      95582      91657
       42      95329      91228
       43      95064      90779
       44      94772      90288
       45      94455      89758
       46      94119      89162
       47      93746      88519
       48      93358      87834
       49      92935      87038
       50      92483      86201
       51      91999      85302
       52      91478      84324
       53      90937      83334
       54      90349      82261
       55      89738      81124
       56      89032      79863
       57      88341      78660
       58      87557      77348
       59      86706      75919
       60      85742      74381
       61      84766      72807
       62      83678      71175
       63      82495      69406
       64      81224      67600
       65      79874      65695
       66      78422      63768
       67      76879      61805
       68      75205      59800
       69      73427      57690
       70      71514      55483
       71      69466      53219
       72      67294      50795
       73      65050      48335
       74      62617      45818
       75      60070      43295
       76      57388      40733
       77      54580      38097
       78      51685      35515
       79      48684      32922
       80      45546      30229
       81      42366      27589
       82      39132      25147
       83      35728      22645
       84      32551      20501
       85      29216      18192
       86      25935      16003
       87      22752      13948
       88      19708      12042
       89      16839      10292
       90      14178       8704
       91      11753       7281
       92       9582       6022
       93       7675       4921
       94       6033       3972
       95       4648       3166
       96       3507       2490
       97       2589       1932
       98       1867       1478
       99       1314       1115
      100        901        829
